
Sat Sep 12 11:02:52 EDT 2015
numactl --interleave=all ../testing/testing_zhemv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
% MAGMA 1.7.0  compiled for CUDA capability >= 3.5, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 7000, driver 7000. OpenMP threads 16. MKL 11.2.2, MKL threads 16. 
% device 0: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 1: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 2: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% Sat Sep 12 11:02:58 2015
% Usage: ../testing/testing_zhemv [options] [-h|--help]

% uplo = Lower
%   N   MAGMA Gflop/s (ms)    Atomics Gflop/s      CUBLAS Gflop/s       CPU Gflop/s   MAGMA error  Atomics    CUBLAS
%=====================================================================================================================
  123      1.80 (   0.07)      2.11 (   0.06)      1.70 (   0.07)      1.78 (   0.07)   1.18e-15   7.03e-16   9.31e-16   ok
 1234     41.63 (   0.29)     51.47 (   0.24)     30.27 (   0.40)      8.71 (   1.40)   3.00e-15   3.32e-15   3.32e-15   ok
   10      0.02 (   0.04)      0.03 (   0.03)      0.03 (   0.03)      0.32 (   0.00)   7.12e-16   3.55e-16   7.12e-16   ok
   11      0.03 (   0.04)      0.04 (   0.03)      0.04 (   0.03)      0.51 (   0.00)   2.28e-16   2.28e-16   2.42e-16   ok
   12      0.03 (   0.04)      0.05 (   0.03)      0.05 (   0.03)      0.60 (   0.00)   3.99e-16   4.50e-16   3.05e-16   ok
   13      0.04 (   0.04)      0.05 (   0.03)      0.06 (   0.03)      0.79 (   0.00)   3.06e-16   5.47e-16   2.82e-16   ok
   14      0.05 (   0.04)      0.06 (   0.03)      0.07 (   0.03)      0.21 (   0.01)   2.84e-16   3.59e-16   2.84e-16   ok
   15      0.05 (   0.04)      0.07 (   0.03)      0.08 (   0.02)      0.64 (   0.00)   2.65e-16   2.96e-16   2.96e-16   ok
   16      0.06 (   0.04)      0.08 (   0.03)      0.09 (   0.02)      0.72 (   0.00)   2.48e-16   4.46e-16   2.48e-16   ok
   17      0.07 (   0.04)      0.09 (   0.03)      0.09 (   0.03)      1.17 (   0.00)   4.67e-16   7.01e-16   4.31e-16   ok
   18      0.07 (   0.04)      0.10 (   0.03)      0.11 (   0.03)      1.47 (   0.00)   2.21e-16   4.07e-16   4.07e-16   ok
   19      0.08 (   0.04)      0.12 (   0.03)      0.12 (   0.03)      1.01 (   0.00)   3.74e-16   4.18e-16   3.74e-16   ok
   20      0.09 (   0.04)      0.13 (   0.03)      0.13 (   0.03)      1.11 (   0.00)   4.19e-16   4.19e-16   3.97e-16   ok
   21      0.09 (   0.04)      0.14 (   0.03)      0.14 (   0.03)      1.98 (   0.00)   3.49e-16   4.79e-16   4.23e-16   ok
   22      0.11 (   0.04)      0.14 (   0.03)      0.15 (   0.03)      2.17 (   0.00)   5.11e-16   4.84e-16   5.82e-16   ok
   23      0.12 (   0.04)      0.16 (   0.03)      0.17 (   0.03)      1.45 (   0.00)   2.18e-16   3.45e-16   3.45e-16   ok
   24      0.13 (   0.04)      0.18 (   0.03)      0.18 (   0.03)      1.58 (   0.00)   7.55e-16   3.05e-16   3.31e-16   ok
   25      0.14 (   0.04)      0.19 (   0.03)      0.18 (   0.03)      1.85 (   0.00)   3.18e-16   3.55e-16   3.04e-16   ok
   26      0.14 (   0.04)      0.20 (   0.03)      0.21 (   0.03)      1.85 (   0.00)   4.32e-16   3.86e-16   3.42e-16   ok
   27      0.16 (   0.04)      0.22 (   0.03)      0.22 (   0.03)      1.52 (   0.00)   5.62e-16   3.29e-16   3.96e-16   ok
   28      0.17 (   0.04)      0.23 (   0.03)      0.23 (   0.03)      1.73 (   0.00)   3.86e-16   4.57e-16   4.57e-16   ok
   29      0.18 (   0.04)      0.24 (   0.03)      0.25 (   0.03)      1.75 (   0.00)   3.87e-16   4.90e-16   3.87e-16   ok
   30      0.19 (   0.04)      0.25 (   0.03)      0.27 (   0.03)      1.87 (   0.00)   5.30e-16   4.27e-16   4.74e-16   ok
