
Sat Sep 12 10:57:42 EDT 2015
numactl --interleave=all ../testing/testing_chemv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
% MAGMA 1.7.0  compiled for CUDA capability >= 3.5, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 7000, driver 7000. OpenMP threads 16. MKL 11.2.2, MKL threads 16. 
% device 0: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 1: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 2: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% Sat Sep 12 10:57:48 2015
% Usage: ../testing/testing_chemv [options] [-h|--help]

% uplo = Lower
%   N   MAGMA Gflop/s (ms)    Atomics Gflop/s      CUBLAS Gflop/s       CPU Gflop/s   MAGMA error  Atomics    CUBLAS
%=====================================================================================================================
  123      2.19 (   0.06)      2.45 (   0.05)      1.73 (   0.07)      1.66 (   0.07)   3.92e-07   3.10e-07   3.10e-07   ok
 1234     59.55 (   0.20)     95.27 (   0.13)     33.33 (   0.37)     14.12 (   0.86)   1.48e-06   1.72e-06   1.84e-06   failed
   10      0.02 (   0.04)      0.03 (   0.03)      0.03 (   0.03)      0.43 (   0.00)   2.13e-07   2.13e-07   2.70e-07   ok
   11      0.03 (   0.04)      0.04 (   0.03)      0.04 (   0.03)      0.58 (   0.00)   1.94e-07   1.85e-07   1.23e-07   ok
   12      0.03 (   0.04)      0.04 (   0.03)      0.05 (   0.03)      0.45 (   0.00)   1.12e-07   1.12e-07   1.12e-07   ok
   13      0.04 (   0.04)      0.04 (   0.03)      0.06 (   0.03)      0.79 (   0.00)   1.64e-07   2.07e-07   1.64e-07   ok
   14      0.05 (   0.04)      0.06 (   0.03)      0.06 (   0.03)      0.91 (   0.00)   2.81e-07   2.46e-07   2.81e-07   ok
   15      0.05 (   0.04)      0.07 (   0.03)      0.07 (   0.03)      0.92 (   0.00)   1.42e-07   1.80e-07   2.84e-07   ok
   16      0.06 (   0.04)      0.07 (   0.03)      0.08 (   0.03)      1.17 (   0.00)   1.69e-07   1.69e-07   1.69e-07   ok
   17      0.06 (   0.04)      0.08 (   0.03)      0.08 (   0.03)      1.32 (   0.00)   1.59e-07   2.51e-07   1.59e-07   ok
   18      0.07 (   0.04)      0.09 (   0.03)      0.09 (   0.03)      1.31 (   0.00)   2.14e-07   2.18e-07   2.18e-07   ok
   19      0.08 (   0.04)      0.10 (   0.03)      0.10 (   0.03)      1.01 (   0.00)   2.04e-07   2.01e-07   1.25e-07   ok
   20      0.08 (   0.04)      0.11 (   0.03)      0.12 (   0.03)      1.80 (   0.00)   1.97e-07   2.13e-07   1.97e-07   ok
   21      0.10 (   0.04)      0.13 (   0.03)      0.13 (   0.03)      1.32 (   0.00)   2.03e-07   2.57e-07   2.57e-07   ok
   22      0.11 (   0.04)      0.14 (   0.03)      0.14 (   0.03)      1.33 (   0.00)   1.94e-07   2.33e-07   1.94e-07   ok
   23      0.12 (   0.04)      0.14 (   0.03)      0.15 (   0.03)      1.58 (   0.00)   1.71e-07   1.67e-07   2.49e-07   ok
   24      0.13 (   0.04)      0.16 (   0.03)      0.17 (   0.03)      1.71 (   0.00)   1.64e-07   2.44e-07   1.87e-07   ok
   25      0.14 (   0.04)      0.18 (   0.03)      0.18 (   0.03)      1.71 (   0.00)   2.56e-07   2.29e-07   2.16e-07   ok
   26      0.15 (   0.04)      0.19 (   0.03)      0.19 (   0.03)      1.41 (   0.00)   1.64e-07   1.55e-07   1.64e-07   ok
   27      0.16 (   0.04)      0.21 (   0.03)      0.21 (   0.03)      1.52 (   0.00)   2.15e-07   1.58e-07   2.23e-07   ok
   28      0.17 (   0.04)      0.21 (   0.03)      0.22 (   0.03)      2.13 (   0.00)   2.15e-07   2.46e-07   1.52e-07   ok
   29      0.18 (   0.04)      0.23 (   0.03)      0.23 (   0.03)      1.85 (   0.00)   2.94e-07   2.71e-07   2.21e-07   ok
   30      0.19 (   0.04)      0.24 (   0.03)      0.24 (   0.03)      1.98 (   0.00)   2.29e-07   2.29e-07   2.62e-07   ok
